총 대상 종목 수: 81
등급별: {"A":14,"B":23,"C":35,"D":9}

code     |tier|점수| 시총(억) | 종목명 | 핵심신제품 | rationale 합 길이
---------|----|----|----------|--------|------------|------
068270 | A | 30 | 421143 | 셀트리온 | 짐펜트라·옴리클로·ADC | 119
079550 | A | 29 | 189640 | LIG디펜스앤에어로스페이스 | 정밀유도무기·미사일 | 80
009150 | A | 27 | 899312 | 삼성전기 | AI MLCC·FC-BGA | 135
009155 | A | 27 | 12601 | 삼성전기우 | AI MLCC·FC-BGA (우선주) | 60
368770 | A | 27 | 6528 | 파이버프로 | 광섬유 자이로 IMU·항법 | 139
121600 | A | 27 | 8516 | 나노신소재 | CNT 도전재·실리콘 음극재 | 90
000990 | A | 25 | 78743 | DB하이텍 | 8인치 파운드리 | 98
005935 | A | 25 | 1506853 | 삼성전자우 | HBM4 양산·차별화 성능 | 148
257720 | A | 25 | 24623 | 실리콘투 | K뷰티 글로벌 D2C 유통 | 76
000250 | A | 25 | 83274 | 삼천당제약 | 경구 GLP-1 비만치료제 | 82
383220 | A | 24 | 29649 | F&F | MLB·디스커버리 패션 | 54
145020 | A | 24 | 31867 | 휴젤 | 보툴렉스 톡신 | 72
376300 | A | 24 | 6195 | 디어유 | Bubble 팬덤 플랫폼 | 68
484120 | A | 24 | 2165 | 도우인시스 | 폴더블 UTG 유리 | 70
067310 | B | 23 | 36223 | 하나마이크론 | HBM 후공정·OSAT | 78
295310 | B | 23 | 13338 | 에이치브이엠 | 방산 특수합금 | 41
240810 | B | 23 | 61502 | 원익IPS | CVD·ALD 증착장비 | 82
319660 | B | 23 | 31805 | 피에스케이 | PR Strip·드라이클리닝 | 82
131290 | B | 23 | 25054 | 티에스이 | HBM 테스트 솔루션 | 131
089970 | B | 23 | 14838 | 브이엠 | 반도체 진공장비·핸들러 | 53
166090 | B | 23 | 14338 | 하나머티리얼즈 | SiC·실리콘 챔버 부품 | 104
281820 | B | 23 | 14076 | 케이씨텍 | CMP 슬러리·세정장비 | 75
195870 | B | 23 | 13804 | 해성디에스 | 메모리 리드프레임·HBM 패키지 | 82
083450 | B | 23 | 10597 | GST | 반도체 스크러버·칠러 | 63
237690 | B | 23 | 26435 | 에스티팜 | 올리고핵산 CDMO | 73
241710 | B | 23 | 7775 | 코스메카코리아 | 화장품 ODM (美 진출) | 61
0015G0 | B | 23 | 2867 | 그린광학 | 군용 광학·열영상 | 34
161890 | B | 23 | 21055 | 한국콜마 | 화장품 ODM | 46
457550 | B | 23 | 2217 | 우진엔텍 | 원전 정비·우라늄 전환 | 70
098460 | B | 22 | 25745 | 고영 | 3D AOI·의료로봇 | 76
006800 | B | 22 | 372111 | 미래에셋증권 | 디지털자산 통합 MTS | 105
039490 | B | 22 | 107536 | 키움증권 | 퇴직연금·발행어음 확대 | 110
006805 | B | 22 | 2698 | 미래에셋증권우 | 디지털자산 통합 MTS (우선주) | 61
213420 | B | 22 | 11037 | 덕산네오룩스 | OLED Red Host | 70
119610 | B | 21 | 2505 | 인터로조 | 원데이 컬러 콘택트렌즈 | 52
267270 | B | 21 | 76339 | HD건설기계 | 건설장비·굴착기 | 62
005490 | B | 19 | 351436 | POSCO홀딩스 | 철강·리튬·니켈 | 65
322000 | C | 17 | 20876 | HD현대에너지솔루션 | 고효율 태양광 모듈 | 63
