시작 전 여유 3.301 GB
명령: python scripts/backtest_volatility_pilot_us.py --market us --start 2021-02-01 --end 2026-08-21 --out .cache/bt5y/sub/us_full.json
설정: 관문임박=off · 진입상태=['actionable']
Sharadar 적재 2020-09-14~2027-06-17 (variant=base) …
  일자 1492일 · 거래대금 시계열 5759종목
  유니버스 등장 5759종목 · 시계열 보유 5759종목
스캔일 1396개 (2021-02-01~2026-08-21, step 1)
  2021-06-29: 평가 3767 · 후보 0 · 진입 0 (누적 0)
  2021-06-30: 평가 3770 · 후보 0 · 진입 0 (누적 0)
  2021-07-01: 평가 3771 · 후보 0 · 진입 0 (누적 0)
  2021-07-02: 평가 3774 · 후보 0 · 진입 0 (누적 0)
  2021-07-06: 평가 3780 · 후보 0 · 진입 0 (누적 0)
  2021-07-07: 평가 3778 · 후보 0 · 진입 0 (누적 0)
  2021-07-08: 평가 3780 · 후보 0 · 진입 0 (누적 0)
  2021-07-09: 평가 3786 · 후보 0 · 진입 0 (누적 0)
  2021-07-12: 평가 3790 · 후보 0 · 진입 0 (누적 0)
  2021-07-13: 평가 3800 · 후보 0 · 진입 0 (누적 0)
  2021-07-14: 평가 3803 · 후보 0 · 진입 0 (누적 0)
  2021-07-15: 평가 3805 · 후보 0 · 진입 0 (누적 0)
  2021-07-16: 평가 3809 · 후보 0 · 진입 0 (누적 0)
  2021-07-19: 평가 3812 · 후보 0 · 진입 0 (누적 0)
  2021-07-20: 평가 3819 · 후보 0 · 진입 0 (누적 0)
  2021-07-21: 평가 3817 · 후보 0 · 진입 0 (누적 0)
  2021-07-22: 평가 3819 · 후보 0 · 진입 0 (누적 0)
  2021-07-23: 평가 3820 · 후보 0 · 진입 0 (누적 0)
  2021-07-26: 평가 3821 · 후보 0 · 진입 0 (누적 0)
  2021-07-27: 평가 3823 · 후보 0 · 진입 0 (누적 0)
  2021-07-28: 평가 3822 · 후보 0 · 진입 0 (누적 0)
  2021-07-29: 평가 3822 · 후보 0 · 진입 0 (누적 0)
  2021-07-30: 평가 3824 · 후보 98 · 진입 61 (누적 61)
  2021-08-02: 평가 3827 · 후보 89 · 진입 19 (누적 80)
  2021-08-03: 평가 3834 · 후보 77 · 진입 7 (누적 87)
  2021-08-04: 평가 3833 · 후보 61 · 진입 14 (누적 101)
  2021-08-05: 평가 3833 · 후보 67 · 진입 16 (누적 117)
  2021-08-06: 평가 3834 · 후보 82 · 진입 12 (누적 129)
  2021-08-09: 평가 3837 · 후보 76 · 진입 14 (누적 143)
  2021-08-10: 평가 3839 · 후보 75 · 진입 15 (누적 158)
  2021-08-11: 평가 3840 · 후보 67 · 진입 9 (누적 167)
  2021-08-12: 평가 3841 · 후보 90 · 진입 8 (누적 175)
  2021-08-13: 평가 3848 · 후보 95 · 진입 6 (누적 181)
  2021-08-16: 평가 3850 · 후보 97 · 진입 3 (누적 184)
  2021-08-17: 평가 3850 · 후보 79 · 진입 5 (누적 189)
  2021-08-18: 평가 3851 · 후보 70 · 진입 2 (누적 191)
  2021-08-19: 평가 3852 · 후보 56 · 진입 7 (누적 198)
  2021-08-20: 평가 3848 · 후보 95 · 진입 15 (누적 213)
  2021-08-23: 평가 3845 · 후보 108 · 진입 12 (누적 225)
  2021-08-24: 평가 3846 · 후보 118 · 진입 18 (누적 243)
  2021-08-25: 평가 3845 · 후보 125 · 진입 2 (누적 245)
  2021-08-26: 평가 3844 · 후보 112 · 진입 25 (누적 270)
  2021-08-27: 평가 3838 · 후보 100 · 진입 8 (누적 278)
  2021-08-30: 평가 3832 · 후보 118 · 진입 8 (누적 286)
  2021-08-31: 평가 3828 · 후보 110 · 진입 12 (누적 298)
  2021-09-01: 평가 3828 · 후보 111 · 진입 20 (누적 318)
  2021-09-02: 평가 3831 · 후보 97 · 진입 10 (누적 328)
  2021-09-03: 평가 3832 · 후보 107 · 진입 7 (누적 335)
  2021-09-07: 평가 3771 · 후보 104 · 진입 5 (누적 340)
  2021-09-08: 평가 3764 · 후보 89 · 진입 5 (누적 345)
  2021-09-09: 평가 3758 · 후보 86 · 진입 5 (누적 350)
  2021-09-10: 평가 3759 · 후보 60 · 진입 4 (누적 354)
  2021-09-13: 평가 3761 · 후보 68 · 진입 7 (누적 361)
  2021-09-14: 평가 3758 · 후보 50 · 진입 3 (누적 364)
  2021-09-15: 평가 3753 · 후보 50 · 진입 6 (누적 370)
  2021-09-16: 평가 3748 · 후보 54 · 진입 5 (누적 375)
  2021-09-17: 평가 3751 · 후보 30 · 진입 0 (누적 375)
  2021-09-20: 평가 3754 · 후보 14 · 진입 0 (누적 375)
  2021-09-21: 평가 3754 · 후보 21 · 진입 5 (누적 380)
  2021-09-22: 평가 3747 · 후보 39 · 진입 6 (누적 386)
  2021-09-23: 평가 3745 · 후보 40 · 진입 7 (누적 393)
  2021-09-24: 평가 3744 · 후보 42 · 진입 10 (누적 403)
  2021-09-27: 평가 3743 · 후보 46 · 진입 2 (누적 405)
  2021-09-28: 평가 3748 · 후보 47 · 진입 3 (누적 408)
  2021-09-29: 평가 3745 · 후보 58 · 진입 4 (누적 412)
  2021-09-30: 평가 3746 · 후보 48 · 진입 5 (누적 417)
  2021-10-01: 평가 3748 · 후보 40 · 진입 1 (누적 418)
  2021-10-04: 평가 3745 · 후보 43 · 진입 9 (누적 427)
  2021-10-05: 평가 3746 · 후보 47 · 진입 3 (누적 430)
  2021-10-06: 평가 3746 · 후보 57 · 진입 14 (누적 444)
  2021-10-07: 평가 3751 · 후보 60 · 진입 4 (누적 448)
  2021-10-08: 평가 3748 · 후보 67 · 진입 8 (누적 456)
  2021-10-11: 평가 3749 · 후보 73 · 진입 6 (누적 462)
  2021-10-12: 평가 3745 · 후보 69 · 진입 4 (누적 466)
  2021-10-13: 평가 3741 · 후보 78 · 진입 13 (누적 479)
  2021-10-14: 평가 3735 · 후보 94 · 진입 17 (누적 496)
  2021-10-15: 평가 3734 · 후보 78 · 진입 7 (누적 503)
  2021-10-18: 평가 3734 · 후보 71 · 진입 2 (누적 505)
  2021-10-19: 평가 3724 · 후보 83 · 진입 9 (누적 514)
  2021-10-20: 평가 3724 · 후보 81 · 진입 10 (누적 524)
  2021-10-21: 평가 3723 · 후보 98 · 진입 7 (누적 531)
  2021-10-22: 평가 3724 · 후보 98 · 진입 14 (누적 545)
  2021-10-25: 평가 3720 · 후보 88 · 진입 10 (누적 555)
  2021-10-26: 평가 3722 · 후보 97 · 진입 4 (누적 559)
  2021-10-27: 평가 3721 · 후보 69 · 진입 4 (누적 563)
  2021-10-28: 평가 3722 · 후보 75 · 진입 12 (누적 575)
  2021-10-29: 평가 3719 · 후보 78 · 진입 15 (누적 590)
  2021-11-01: 평가 3720 · 후보 59 · 진입 7 (누적 597)
  2021-11-02: 평가 3725 · 후보 64 · 진입 9 (누적 606)
  2021-11-03: 평가 3724 · 후보 45 · 진입 6 (누적 612)
  2021-11-04: 평가 3731 · 후보 50 · 진입 6 (누적 618)
  2021-11-05: 평가 3732 · 후보 33 · 진입 6 (누적 624)
  2021-11-08: 평가 3733 · 후보 50 · 진입 6 (누적 630)
  2021-11-09: 평가 3741 · 후보 45 · 진입 6 (누적 636)
