code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
080580,오킨스전자,KOSDAQ,2020-07-09,202003,201912,71,338.2,-103.7,False,50.4,8.6,0.9,0.39,163.4,23.85,836.5,16.23,상승추세,1192.0,5.79,5.2,98.3,2.21,0,0.0,146.5,262,8,22
270660,에브리봇,KOSDAQ,2020-05-22,202003,201912,49,None,None,False,None,N/A(이력부족),0.19,None,119.3,None,None,None,중립,1233.4,0.0,0.0,71.0,0.72,18,18.9,39.2,28519,2,5
194480,데브시스터즈,KOSDAQ,2020-12-28,202009,202006,86,111.5,-106.7,False,104.2,N/A(적자),0.9,2.37,1535.0,26.27,-238.1,0.0,상승추세,1099.1,1.44,0.93,85.6,0.21,7,13.4,291.5,58212,14,13
011200,HMM,KOSPI,2020-09-10,202006,202003,88,103.5,52.7,True,-1.6,N/A(적자),0.25,0.42,23132.2,17.32,1222.2,2.61,상승추세,1184.4,8.24,0.22,104.1,6.9,20,19.7,191.3,50112,1,44
033310,엠투엔,KOSDAQ,2020-03-23,201912,201909,45,30.6,8.3,True,-18.2,6.0,0.34,0.57,262.7,55.16,110.9,0.0,하락추세,1253.9,3.18,0.96,30.2,0.33,22,64.8,None,26299,8,55
013720,THE CUBE&,KOSDAQ,2020-11-19,202009,202006,97,-2300.0,-236.4,False,-23.8,N/A(적자),3.95,1.88,310.4,26.36,335.1,0.0,상승추세,1105.9,1.56,-2.15,97.6,0.89,7,4.9,396.6,303,10,42
004830,덕성,KOSPI,2021-02-22,202012,202009,80,-120.0,742.9,False,10.8,28.2,1.02,0.94,1108.0,25.45,322.1,0.0,상승추세,1103.9,1.25,-1.87,63.3,0.2,23,21.3,363.2,22214,3,55
336260,두산퓨얼셀,KOSPI,2020-03-25,201912,201909,83,None,None,False,None,N/A(이력부족),1.07,None,3449.2,65.08,1694.5,None,하락추세,1228.6,3.9,3.9,52.0,1.03,23,49.1,None,28111,3,1
082850,우리바이오,KOSDAQ,2020-08-12,202003,201912,75,-25.2,95.3,False,2.9,14.9,0.28,0.03,543.5,34.58,1465.0,0.0,상승추세,1185.0,1.5,-0.32,93.4,0.58,15,6.0,126.9,108,2,20
025950,동신건설,KOSDAQ,2020-09-23,202006,202003,88,-60.5,-700.0,False,17.4,N/A(적자),0.93,3.18,903.0,73.43,172.6,0.0,상승추세,1162.5,1.93,0.04,67.0,0.11,24,30.3,287.8,41221,4,62
148780,비큐AI,KOSDAQ,2020-06-22,202003,201912,7,None,None,False,None,N/A(이력부족),0.73,None,77.6,None,None,None,상승추세,1210.9,0.0,0.0,42.3,2.98,15,17.1,116.0,58222,14,22
053290,NE능률,KOSDAQ,2021-01-11,202009,202006,16,-175.0,-56.9,False,-14.6,N/A(이력부족),0.57,0.62,459.4,48.33,382.1,11.78,상승추세,1092.8,1.1,0.47,52.8,0.94,14,8.7,53.6,5811,1,27
007860,서연,KOSPI,2020-05-22,202003,201912,43,-31.6,-330.7,False,6.9,N/A(적자),0.09,0.03,828.8,46.06,9534.3,0.0,하락추세,1233.4,2.05,-0.76,66.9,0.24,11,8.8,144.4,64992,6,48
001470,삼부토건,KOSPI,2020-07-13,202003,201912,47,133.3,100.1,False,114.8,10.9,-1.21,0.38,1031.6,10.48,-74.7,10.91,상승추세,1199.5,0.31,0.31,84.0,1.9,24,14.6,84.1,41221,4,65
023960,에쓰씨엔지니어링,KOSPI,2020-10-21,202006,202003,27,800.0,-128.6,False,-24.9,7.7,1.1,0.16,340.2,52.32,-1793.1,0.0,상승추세,1136.0,0.95,-0.12,84.7,0.48,4,6.4,135.0,41225,4,49
004835,덕성우,KOSPI,2021-03-02,202012,202009,76,-120.0,742.9,False,10.8,60.2,2.17,2.01,2364.5,25.45,322.1,0.0,상승추세,1101.8,0.22,-0.97,62.2,2.06,10,7.9,215.6,22214,3,55
015020,이스타코,KOSPI,2021-05-14,202012,202009,98,-123.8,-104.2,False,-88.9,N/A(적자),3.5,23.93,1409.8,39.42,-43.6,0.0,상승추세,1125.7,0.55,-0.56,119.9,5.34,13,19.2,483.3,68121,1,41
014940,오리엔탈정공,KOSDAQ,2021-03-15,202012,202009,98,287.0,3566.7,False,-2.9,4.7,1.11,0.83,1387.7,45.77,230.9,0.0,중립,1134.5,2.07,0.98,91.4,1.89,6,5.9,509.8,291,9,41
222160,NPX,KOSDAQ,2021-04-21,202012,202009,85,None,None,False,None,N/A(이력부족),9.47,None,425.7,49.44,None,None,상승추세,1116.1,0.0,0.0,76.6,0.02,22,33.0,444.6,292,18,21
009835,한화솔루션우,KOSPI,2020-07-29,202003,201912,94,-44.6,-82.3,False,0.5,N/A(적자),0.54,0.48,46104.0,37.05,7492.0,-0.99,상승추세,1199.4,1.75,-8.6,84.2,3.04,11,10.6,279.5,20111,5,46
038620,위즈코프,KOSDAQ,2020-07-17,202003,201912,46,-109.1,70.0,False,-18.1,N/A(적자),0.51,3.55,1250.4,28.95,65.5,0.0,상승추세,1204.2,5.54,2.47,81.0,2.8,0,0.0,77.5,47711,1,25
285490,노바텍,KOSDAQ,2020-09-04,202006,202003,61,66.7,249.7,False,384.1,5.5,0.63,1.29,535.1,63.8,1044.4,0.49,상승추세,1190.8,0.6,-0.14,83.7,0.45,15,20.4,233.1,339,1,13
208640,썸에이지,KOSDAQ,2021-03-24,202012,202009,98,122.7,28.2,False,426.7,N/A(적자),24.35,43.93,3078.1,39.07,-90.1,8.79,상승추세,1133.2,0.74,0.07,110.5,3.23,0,0.0,614.5,582,14,7
027360,아주IB투자,KOSDAQ,2020-04-13,201912,201909,54,None,None,False,None,N/A(이력부족),0.52,None,1377.1,67.28,None,0.0,하락추세,1211.0,0.3,0.3,76.6,1.51,0,0.0,68.1,649,6,46
241840,에이스토리,KOSDAQ,2020-10-23,202006,202003,39,-11444.4,-105.9,False,-94.5,N/A(적자),1.87,6.54,931.8,26.32,-849.7,0.0,중립,1134.2,4.22,3.93,87.0,0.4,9,11.3,151.2,591,6,16
205470,휴마시스,KOSDAQ,2021-04-01,202012,202009,90,609.3,53.8,False,693.8,14.1,0.94,6.71,3067.3,8.0,417.8,5.59,상승추세,1127.2,0.46,-0.35,41.7,1.75,8,8.0,282.2,213,4,7
298020,효성티앤씨,KOSPI,2020-09-15,202006,202003,17,-135.7,-16.1,False,-34.3,14.2,0.33,0.1,5193.2,43.93,80769.5,0.0,상승추세,1180.8,12.14,1.3,67.4,7.12,21,15.1,47.7,2050,2,2
034020,두산에너빌리티,KOSPI,2021-03-24,202012,202009,97,107.9,2.8,True,-1.3,N/A(적자),0.95,0.28,43326.4,42.47,788.0,48.0,중립,1133.2,9.99,2.62,70.5,0.61,1,0.0,409.7,29119,9,59
100090,SK오션플랜트,KOSPI,2020-06-25,202003,201912,42,193.9,33.4,False,143.0,N/A(적자),0.29,0.24,1109.2,43.71,648.7,7.13,중립,1205.2,1.0,-0.28,72.4,0.33,20,19.2,129.3,2413,6,24
299660,셀리드,KOSDAQ,2021-03-17,202012,202009,79,-110.1,-103.3,False,None,N/A(적자),15.09,None,3682.6,28.73,-387.8,0.57,중립,1129.8,0.49,0.17,71.9,0.53,16,7.3,216.9,701,6,15
297090,씨에스베어링,KOSDAQ,2020-06-18,202003,201912,51,84.8,None,False,25.4,N/A(이력부족),1.16,None,406.8,44.24,894.3,None,상승추세,1214.3,0.56,0.25,84.3,0.37,8,15.1,199.0,29141,9,13
