code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
072770,멤레이비티,KOSDAQ,2025-08-13,202503,202412,1,47.5,None,False,117.7,N/A(이력부족),1.94,0.69,791.1,0.0,29.7,4.05,상승추세,1383.1,1.71,1.2,23.5,5.29,19,17.2,None,620,2,27
120110,코오롱인더,KOSPI,2025-11-12,202506,202503,75,-53.2,-40.3,False,2.6,23.2,0.32,0.32,11324.1,34.79,10559.4,0.0,상승추세,1459.8,13.65,0.9,88.9,5.5,14,8.1,44.0,205,2,15
018470,조일알미늄,KOSPI,2026-03-04,202512,202509,17,-77.1,-150.0,False,-64.3,17.4,0.66,8164.29,1386.6,41.98,140.1,0.0,상승추세,1483.1,0.31,-0.82,62.6,1.23,18,8.9,None,24222,4,41
017810,풀무원,KOSPI,2024-12-09,202409,202406,60,64.8,-14.0,True,11.7,29.1,1.21,0.12,3865.4,60.3,5078.1,0.0,하락추세,1424.2,1.2,0.73,57.6,0.74,12,8.4,None,108,2,40
104460,디와이피엔에프,KOSDAQ,2025-04-23,202412,202409,28,60.0,159.0,False,182.0,7.7,0.92,0.55,1552.4,47.24,725.1,0.0,하락추세,1429.2,4.74,3.33,59.0,0.33,19,14.8,41.1,29163,4,26
264850,이랜시스,KOSDAQ,2025-11-25,202509,202506,40,-14.9,-52.3,False,1.4,33.8,2.66,2.01,1434.4,56.82,260.7,0.0,중립,1474.9,0.42,-0.31,77.2,0.16,15,15.8,54.6,262,5,8
044820,코스맥스비티아이,KOSPI,2025-02-21,202412,202409,58,24.7,-40.1,False,-6.0,5.1,0.31,0.14,850.9,60.99,2481.9,0.0,중립,1431.7,3.61,-0.3,84.1,7.78,20,2.1,1.9,64992,4,33
268280,미원에스씨,KOSPI,2026-05-14,202512,202509,14,12.8,48.3,False,-0.2,8.6,1.17,1.02,5440.0,73.49,15303.7,0.0,상승추세,1489.8,0.53,-0.1,65.2,1.9,16,11.2,None,201,4,9
212560,네오오토,KOSDAQ,2025-10-24,202506,202503,39,4.1,-5.8,False,10.1,2.5,0.47,0.29,653.2,51.18,2547.2,50.0,상승추세,1435.8,3.43,2.03,81.4,0.78,23,10.4,36.1,303,2,15
298000,효성화학,KOSPI,2024-12-09,202409,202406,21,-14.4,44.4,False,8.0,N/A(적자),0.34,0.04,1270.3,52.32,20416.0,0.0,하락추세,1424.2,2.49,-1.03,36.3,0.68,23,27.9,None,201,4,6
