code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
475460,미트박스,KOSDAQ,2026-03-04,202512,202509,15,1460.0,-22.6,True,13.9,21.4,1.01,0.28,377.8,21.18,273.3,0.47,중립,1483.1,5.42,5.13,37.9,1.8,21,12.4,None,639,None,12
396270,넥스트칩,KOSDAQ,2026-03-04,202512,202509,1,133.2,-40.6,False,10.8,N/A(적자),4.78,2.19,868.2,24.74,-371.1,81.81,중립,1483.1,2.86,2.72,23.3,0.64,13,21.4,111.2,26112,None,7
071670,에이테크솔루션,KOSDAQ,2025-05-14,202412,202409,16,-54.0,-333.3,False,-0.7,102.3,0.71,0.22,624.0,33.71,54.5,0.0,중립,1416.0,1.88,0.76,61.3,0.82,8,2.6,35.3,29293,None,24
388790,라이콤,KOSDAQ,2026-01-15,202509,202506,21,71.4,-142.9,False,19.2,N/A(적자),3.74,5.83,811.1,38.79,-44.6,2.32,상승추세,1462.9,1.96,1.0,78.9,0.22,6,4.2,32.1,264,None,5
084730,팅크웨어,KOSDAQ,2025-11-19,202509,202506,14,-35.1,-93.7,True,0.3,N/A(적자),0.47,0.15,831.0,35.84,1885.8,0.0,상승추세,1456.6,2.55,0.03,66.2,0.43,23,16.2,None,264,None,28
247660,나노씨엠에스,KOSDAQ,2026-03-04,202512,202509,10,96.1,92.4,True,87.4,N/A(적자),0.84,2.88,152.3,25.88,64.4,0.0,중립,1483.1,1.58,1.22,53.9,1.81,22,27.3,None,2629,None,23
228760,지노믹트리,KOSDAQ,2025-06-27,202503,202412,10,-2.5,-26.3,False,11.2,N/A(적자),2.51,122.49,2932.5,15.78,-559.3,0.06,상승추세,1352.8,1.07,0.92,49.3,3.23,10,10.2,None,701,None,25
251270,넷마블,KOSPI,2025-04-09,202412,202409,27,3.5,218.1,False,-2.5,119.4,0.57,1.21,32232.6,24.17,3347.3,0.0,하락추세,1486.1,25.08,1.16,54.0,0.69,2,2.7,None,5821,None,14
007390,네이처셀,KOSDAQ,2025-03-13,202412,202409,98,105.2,43.8,False,93.2,820.0,15.93,31.07,10026.8,19.85,23.5,0.31,하락추세,1448.8,8.71,3.37,57.3,0.72,15,21.6,None,211,None,54
078340,컴투스,KOSDAQ,2026-05-15,202603,202512,16,-241.2,125.1,False,-13.9,17.6,0.33,0.52,3470.2,31.43,-3243.1,-5.08,중립,1493.3,10.43,-2.58,64.9,1.26,22,13.1,None,5821,None,28
