사이클 2025-04-09 ~ 2026-05-16 | 유니버스 2638 | 유효 2553 | 제외 85
유지배수 분포: 최고 51.6배 / 중앙 1.51배
  유지배수 >= 10배 : 19종목
  유지배수 >= 8배 : 39종목
  유지배수 >= 7배 : 50종목
  유지배수 >= 6배 : 64종목
  유지배수 >= 5배 : 105종목
  유지배수 >= 4배 : 177종목
  유지배수 >= 3배 : 322종목

순위 종목명(코드/시장) | 유지배수 / 원배수 | 저점일 저점가 -> 고점일 고점가 | 최신가
 1. 성호전자 (043260/KOSDAQ) | 51.61 / 58.53배 | 2025-04-09 909 -> 2026-04-14 53,200 | 40,650
 2. 대한광통신 (010170/KOSDAQ) | 40.45 / 62.72배 | 2025-04-09 464 -> 2026-05-12 29,100 | 23,000
 3. RF머트리얼즈 (327260/KOSDAQ) | 20.14 / 23.20배 | 2025-04-09 5,150 -> 2026-05-07 119,500 | 100,800
 4. 우리기술 (032820/KOSDAQ) | 15.38 / 18.84배 | 2025-04-09 1,555 -> 2026-03-18 29,300 | 17,130
 5. 씨어스 (458870/KOSDAQ) | 13.93 / 16.29배 | 2025-04-09 3,866 -> 2026-03-19 63,000 | 36,950
 6. 페니트리움바이오 (187660/KOSDAQ) | 13.83 / 16.45배 | 2025-07-01 1,135 -> 2026-02-26 18,670 | 8,320
 7. 원익홀딩스 (030530/KOSDAQ) | 13.12 / 14.98배 | 2025-04-09 3,250 -> 2025-12-30 48,700 | 28,200
 8. 미래에셋벤처투자 (100790/KOSDAQ) | 13.12 / 14.90배 | 2025-04-09 4,195 -> 2026-05-11 62,500 | 54,900
 9. SK스퀘어 (402340/KOSPI) | 12.16 / 15.82배 | 2025-04-09 75,200 -> 2026-05-13 1,190,000 | 1,098,000
10. 동양고속 (084670/KOSPI) | 11.88 / 19.94배 | 2025-04-10 6,700 -> 2025-12-17 133,600 | 65,800
11. 아이티센글로벌 (124500/KOSDAQ) | 11.16 / 13.14배 | 2025-04-09 5,470 -> 2026-03-12 71,900 | 51,200
12. 비엘팜텍 (065170/KOSDAQ) | 10.94 / 16.35배 | 2026-01-08 419 -> 2026-02-10 6,850 | 2,080
13. 대우건설 (047040/KOSPI) | 10.80 / 12.51배 | 2025-04-09 2,970 -> 2026-04-28 37,150 | 28,500
14. 한국피아이엠 (448900/KOSDAQ) | 10.76 / 14.85배 | 2025-09-03 11,440 -> 2026-03-10 169,900 | 107,000
15. 로보티즈 (108490/KOSDAQ) | 10.68 / 12.84배 | 2025-04-09 29,400 -> 2026-05-11 377,500 | 328,500
16. 코리아써키트 (007810/KOSPI) | 10.63 / 11.57배 | 2025-04-09 8,980 -> 2026-05-13 103,900 | 91,000
17. 현대무벡스 (319400/KOSDAQ) | 10.61 / 14.37배 | 2025-04-09 3,225 -> 2026-01-21 46,350 | 41,100
18. 천일고속 (000650/KOSPI) | 10.32 / 12.41배 | 2025-11-05 36,850 -> 2025-12-11 457,500 | 330,500
19. 비트플래닛 (049470/KOSDAQ) | 10.09 / 11.50배 | 2025-04-09 1,600 -> 2025-09-10 18,400 | 2,380
20. 효성중공업 (298040/KOSPI) | 9.94 / 12.03배 | 2025-04-09 382,500 -> 2026-05-07 4,601,000 | 3,745,000
21. 네오티스 (085910/KOSDAQ) | 9.34 / 10.87배 | 2025-04-09 2,945 -> 2026-05-14 32,000 | 28,500
22. 빛과전자 (069540/KOSDAQ) | 9.31 / 11.01배 | 2025-12-30 592 -> 2026-04-20 6,520 | 5,290
23. 우리로 (046970/KOSDAQ) | 9.21 / 13.16배 | 2025-04-09 1,079 -> 2026-04-15 14,200 | 7,920
24. 에이치엠넥스 (036170/KOSDAQ) | 9.15 / 10.72배 | 2025-10-30 818 -> 2026-05-08 8,770 | 6,260
25. 파두 (440110/KOSDAQ) | 9.06 / 11.75배 | 2025-04-09 8,810 -> 2026-05-14 103,500 | 100,100
26. 앱클론 (174900/KOSDAQ) | 9.02 / 11.08배 | 2025-04-09 8,040 -> 2026-03-13 89,100 | 39,250
27. 휴림로봇 (090710/KOSDAQ) | 8.92 / 12.84배 | 2025-04-09 1,675 -> 2026-01-21 21,500 | 13,120
28. SK하이닉스 (000660/KOSPI) | 8.90 / 11.98배 | 2025-04-09 165,000 -> 2026-05-13 1,976,000 | 1,819,000
29. 대덕전자 (353200/KOSPI) | 8.78 / 11.02배 | 2025-04-09 13,120 -> 2026-05-14 144,600 | 135,800
30. 이노인스트루먼트 (215790/KOSDAQ) | 8.72 / 16.69배 | 2026-03-04 260 -> 2026-04-15 4,340 | 2,075
31. 로킷헬스케어 (376900/KOSDAQ) | 8.71 / 10.74배 | 2025-06-17 13,770 -> 2026-04-01 147,900 | 68,600
32. LS ELECTRIC (010120/KOSPI) | 8.56 / 10.68배 | 2025-04-09 29,820 -> 2026-05-07 318,500 | 259,000
33. 미래에셋증권 (006800/KOSPI) | 8.50 / 9.93배 | 2025-04-09 8,438 -> 2026-05-06 83,800 | 69,900
34. 코스텍시스 (355150/KOSDAQ) | 8.37 / 11.71배 | 2025-04-09 5,030 -> 2026-05-11 58,900 | 49,850
35. 가온전선 (000500/KOSPI) | 8.32 / 16.00배 | 2025-04-09 35,250 -> 2026-05-12 564,000 | 338,500
36. HD현대에너지솔루션 (322000/KOSPI) | 8.31 / 10.34배 | 2025-04-09 23,600 -> 2026-05-14 244,000 | 196,800
37. 재영솔루텍 (049630/KOSDAQ) | 8.29 / 10.88배 | 2025-04-09 3,310 -> 2026-01-21 36,000 | 12,300
38. RFHIC (218410/KOSDAQ) | 8.10 / 9.19배 | 2025-04-09 12,240 -> 2026-05-12 112,500 | 97,100
39. 지구홀딩스 (221800/KOSDAQ) | 8.04 / 9.81배 | 2025-04-09 2,875 -> 2026-03-10 28,200 | 13,150
40. 아주IB투자 (027360/KOSDAQ) | 7.93 / 9.73배 | 2025-04-09 1,924 -> 2026-04-24 18,720 | 14,310
41. 계양전기 (012200/KOSPI) | 7.77 / 9.56배 | 2025-04-09 1,301 -> 2026-01-12 12,440 | 9,010
42. 삼성전기 (009150/KOSPI) | 7.77 / 9.40배 | 2025-04-09 109,500 -> 2026-05-13 1,029,000 | 1,010,000
43. 삼현 (437730/KOSDAQ) | 7.63 / 8.45배 | 2025-04-09 8,660 -> 2026-01-19 73,200 | 52,700
44. 스피어 (347700/KOSDAQ) | 7.60 / 8.38배 | 2025-04-09 6,340 -> 2026-03-12 53,100 | 42,000
45. 한스바이오메드 (042520/KOSDAQ) | 7.41 / 8.74배 | 2025-04-09 6,370 -> 2026-03-19 55,700 | 24,900
46. 비나텍 (126340/KOSDAQ) | 7.39 / 9.09배 | 2025-04-09 21,310 -> 2026-05-06 193,600 | 155,100
47. 에스피지 (058610/KOSDAQ) | 7.37 / 8.13배 | 2025-04-09 19,440 -> 2026-01-29 158,100 | 126,600
48. 오름테라퓨틱 (475830/KOSDAQ) | 7.24 / 8.45배 | 2025-06-09 17,010 -> 2026-01-09 143,700 | 76,000
49. 프로티나 (468530/KOSDAQ) | 7.23 / 8.10배 | 2025-08-01 13,800 -> 2025-12-29 111,800 | 48,750
50. 광전자 (017900/KOSPI) | 7.11 / 10.52배 | 2025-04-09 1,690 -> 2026-04-15 17,780 | 10,700

제외 사유 분포: {'데이터부족': 37, '급격가격점프(분할/병합/데이터의심)': 41, '반짝급등(피크미유지)': 6, '시세조회실패': 1}
